Wall time,Step,Value
1703070126,0,1.787123084
1703070394,1,1.71999979
1703070665,2,1.599683762
1703070917,3,1.419822216
1703071180,4,1.366432548
1703071448,5,1.11395514
1703071714,6,1.148706913
1703071981,7,1.05797255
1703072242,8,1.172243714
1703072484,9,0.946380794
1703072747,10,0.894118905
1703073012,11,0.89883554
1703073254,12,0.732970595
1703073514,13,0.750032485
1703073757,14,0.854332268
1703073999,15,0.830318749
1703074242,16,0.696644425
1703074504,17,0.743287325
1703074746,18,0.768914759
1703074988,19,0.798839569
1703075230,20,0.613393366
1703075498,21,0.605988503
1703075753,22,0.681411862
1703075995,23,0.565275788
1703076262,24,0.697066128
1703076504,25,0.67644155
1703076747,26,0.622064948
1703076988,27,0.592368007
1703077230,28,0.630307317
1703077472,29,0.581949711
1703077740,30,0.556255519
1703078007,31,0.599530876
1703078249,32,0.599610627
1703078491,33,0.604854107
1703078733,34,0.648476005
1703078975,35,0.587346494
1703079217,36,0.54685688
1703079484,37,0.564237535
1703079726,38,0.55252105
1703079968,39,0.640400767
1703080210,40,0.600541353
1703080452,41,0.551621675
1703080713,42,0.533869922
1703080955,43,0.587167799
1703081197,44,0.579548538
1703081439,45,0.581787169
1703081681,46,0.515206635
1703081948,47,0.612397552
1703082190,48,0.573419034
1703082432,49,0.502672613
1703082684,50,0.56526041
1703082926,51,0.509731472
1703083189,52,0.478042811
1703083455,53,0.606771827
1703083697,54,0.559504867
1703083939,55,0.519118428
1703084181,56,0.505208313
1703084423,57,0.479629368
1703084665,58,0.521521628
1703084907,59,0.636445403
1703085150,60,0.566961706
1703085392,61,0.606341183
1703085634,62,0.50389713
1703085902,63,0.550365925
1703086144,64,0.472839773
1703086409,65,0.515010893
1703086651,66,0.50120157
1703086894,67,0.598497272
1703087136,68,0.576619685
1703087378,69,0.462486207
1703087640,70,0.49057582
1703087883,71,0.484779149
1703088125,72,0.532412231
1703088367,73,0.462540388
1703088609,74,0.507036507
1703088851,75,0.510233045
1703089093,76,0.434391528
1703089355,77,0.429776102
1703089622,78,0.45935756
1703089864,79,0.522139728
1703090106,80,0.552258372
1703090348,81,0.475815028
1703090590,82,0.499286294
1703090832,83,0.466008633
1703091074,84,0.48771131
1703091316,85,0.648620903
1703091558,86,0.497612745
1703091800,87,0.515488029
1703092042,88,0.468723655
1703092284,89,0.463492125
1703092526,90,0.461791128
1703092768,91,0.440601856
1703093046,92,0.511107683
1703093288,93,0.467587441
1703093530,94,0.469908863
1703093772,95,0.495772272
1703094014,96,0.469393581
1703094256,97,0.505970895
1703094498,98,0.50028944
1703094740,99,0.491220653
1703094982,100,0.450709015
1703095224,101,0.454007924
1703095466,102,0.75886941
1703095708,103,0.598548293
1703095950,104,0.493771791
1703096192,105,0.455094725
1703096434,106,0.521502435
1703096676,107,0.454230279
1703096918,108,0.518168986
1703097159,109,0.443943918
1703097401,110,0.43381235
1703097643,111,0.43888396
1703097885,112,0.448201895
1703098127,113,0.525980115
1703098369,114,0.598624408
1703098611,115,0.635259211
1703098853,116,0.591529727
1703099095,117,0.486572444
1703099337,118,0.409388781
1703099609,119,0.454879016
1703099851,120,0.465315521
1703100093,121,0.425884008
1703100335,122,0.480951279
1703100577,123,0.502855778
1703100819,124,0.522577941
1703101061,125,0.432799935
1703101303,126,0.428220361
1703101545,127,0.44400081
1703101787,128,0.507869065
1703102029,129,0.438070625
1703102271,130,0.431479186
1703102513,131,0.490638614
1703102755,132,0.414733469
1703102997,133,0.390558898
1703103267,134,0.553040445
1703103510,135,0.476602525
1703103752,136,0.467891037
1703103994,137,0.512930512
1703104236,138,0.542795658
1703104478,139,0.530609071
1703104721,140,0.447031587
1703104963,141,0.426426649
1703105205,142,0.465464741
1703105447,143,0.402581424
1703105690,144,0.444982082
1703105932,145,0.524156451
1703106174,146,0.41624102
1703106416,147,0.423254639
1703106658,148,0.492925733
1703106900,149,0.537574112
1703107142,150,0.422563553
1703107384,151,0.491577774
1703107625,152,0.470711946
1703107867,153,0.51792711
1703108109,154,0.438856304
1703108351,155,0.413430721
1703108592,156,0.479886532
1703108834,157,0.393296272
1703109107,158,0.43003723
1703109349,159,0.434073418
1703109591,160,0.490378559
1703109833,161,0.392449766
1703110075,162,0.558190942
1703110317,163,0.408975571
1703110558,164,0.517570138
1703110800,165,0.385594755
1703111042,166,0.424849331
1703111284,167,0.39415732
1703111526,168,0.373124748
1703111786,169,0.463923931
1703112028,170,0.407829612
1703112270,171,0.549971819
1703112512,172,0.458858401
1703112754,173,0.594996214
1703112996,174,0.397859722
1703113238,175,0.421341568
1703113480,176,0.526543498
1703113721,177,0.451709479
1703113963,178,0.396339029
1703114205,179,0.44860515
1703114447,180,0.482464075
1703114689,181,0.440399289
1703114931,182,0.47317946
1703115173,183,0.508667946
1703115415,184,0.434100896
1703115656,185,0.784315825
1703115898,186,0.474105507
1703116140,187,0.396119982
1703116382,188,0.451912463
1703116624,189,0.399092257
1703116865,190,0.529475629
1703117107,191,0.462438822
1703117349,192,0.415514469
1703117591,193,0.456139833
1703117832,194,0.380588174
1703118093,195,0.364939749
1703118356,196,0.460988164
1703118598,197,0.444322914
1703118840,198,0.397253245
1703119082,199,0.425611168
1703119323,200,0.442267507
1703119565,201,0.460754275
1703119807,202,0.404925644
1703120048,203,0.394261986
1703120290,204,0.544439495
1703120532,205,0.417265117
1703120774,206,0.421904206
1703121015,207,0.480387002
1703121257,208,0.382980943
1703121498,209,0.454955131
1703121740,210,0.370769173
1703121982,211,0.476687133
1703122224,212,0.37440899
1703122484,213,0.409373701
1703122726,214,0.408903569
1703122968,215,0.421400845
1703123210,216,0.420879513
1703123451,217,0.407080024
1703123693,218,0.572489381
1703123935,219,0.466897964
1703124176,220,0.427726239
1703124418,221,0.458820224
1703124660,222,0.382025033
1703124902,223,0.415138394
1703125143,224,0.414061129
1703125385,225,0.3721973
1703125627,226,0.413568705
1703125868,227,0.458051592
1703126110,228,0.383458883
1703126371,229,0.496721834
1703126613,230,0.523541629
1703126855,231,0.411257744
1703127096,232,0.409459978
1703127338,233,0.532533824
1703127580,234,0.41521889
1703127821,235,0.395667702
1703128063,236,0.420964837
1703128305,237,0.438685566
1703128546,238,0.390337199
1703128788,239,0.373596847
1703129048,240,0.479979336
1703129290,241,0.39479214
1703129531,242,0.387535602
1703129773,243,0.371025503
1703130015,244,0.358589947
1703130277,245,0.449473202
1703130518,246,0.387721539
1703130760,247,0.357068628
1703131002,248,0.426422387
1703131243,249,0.424408138
1703131485,250,0.409636408
1703131727,251,0.4307971
1703131968,252,0.367844075
1703132210,253,0.405349433
1703132452,254,0.364385784
1703132693,255,0.433574528
1703132935,256,0.409640729
1703133177,257,0.378060967
1703133418,258,0.474614173
1703133660,259,0.454370946
1703133902,260,0.492631525
1703134144,261,0.426344514
1703134385,262,0.365230531
1703134627,263,0.414840132
1703134869,264,0.427791595
1703135111,265,0.452524513
1703135352,266,0.405831128
1703135594,267,0.436544031
1703135836,268,0.337563068
1703136098,269,0.473019868
1703136339,270,0.39081189
1703136581,271,0.383079022
1703136823,272,0.398177475
1703137065,273,0.480607927
1703137306,274,0.446199924
1703137548,275,0.381796092
1703137790,276,0.439842612
1703138031,277,0.481648624
1703138273,278,0.541171789
1703138515,279,0.416670024
1703138757,280,0.406831056
1703138998,281,0.396206886
1703139240,282,0.421044827
1703139482,283,0.367345661
1703139724,284,0.372376829
1703139965,285,0.422117889
1703140207,286,0.394348234
1703140449,287,0.33234641
1703140710,288,0.479411751
1703140952,289,0.43072924
1703141193,290,0.417628318
1703141435,291,0.334465772
1703141677,292,0.375078797
1703141919,293,0.347528189
1703142160,294,0.49532482
1703142402,295,0.392464012
1703142644,296,0.479754001
1703142886,297,0.381598622
1703143127,298,0.398426801
1703143369,299,0.366120249
1703143611,300,0.375260592
1703143852,301,0.400054812
1703144094,302,0.33342126
1703144336,303,0.423963308
1703144578,304,0.401894689
1703144819,305,0.345255196
1703145061,306,0.358080536
1703145303,307,0.421861887
1703145545,308,0.367500037
1703145786,309,0.394645959
1703146028,310,0.441200346
1703146270,311,0.365249991
1703146512,312,0.375011086
1703146753,313,0.441669732
1703146995,314,0.353172809
1703147237,315,0.43762812
1703147479,316,0.421800375
1703147720,317,0.417589337
1703147962,318,0.374847531
1703148204,319,0.377235442
1703148446,320,0.391054392
1703148687,321,0.382638723
1703148929,322,0.429660052
1703149171,323,0.351772517
1703149413,324,0.365336359
1703149655,325,0.366492629
1703149896,326,0.408984959
1703150138,327,0.366088063
1703150380,328,0.411359906
1703150622,329,0.341822356
1703150863,330,0.391376287
1703151105,331,0.367500335
1703151347,332,0.381210923
1703151588,333,0.362961262
1703151830,334,0.397562742
1703152072,335,0.394409806
1703152314,336,0.351317167
1703152555,337,0.420493871
1703152797,338,0.369583428
1703153039,339,0.388611466
1703153280,340,0.361570239
1703153522,341,0.382540286
1703153764,342,0.338743001
1703154027,343,0.337133884
1703154269,344,0.432377279
1703154510,345,0.416296422
1703154752,346,0.340480059
1703154994,347,0.411798686
1703155236,348,0.427127063
1703155477,349,0.371068746
1703155719,350,0.378120303
1703155961,351,0.355793417
1703156202,352,0.382939368
1703156444,353,0.389716983
1703156686,354,0.435970604
1703156927,355,0.403924018
1703157169,356,0.388312638
1703157411,357,0.334488243
1703157672,358,0.362475872
1703157915,359,0.371955305
1703158156,360,0.392034322
1703158398,361,0.413300902
1703158640,362,0.37692216
1703158882,363,0.351255536
1703159148,364,0.390792459
1703159390,365,0.395338327
1703159632,366,0.374718934
1703159874,367,0.424384743
1703160115,368,0.353561461
1703160357,369,0.3779746
1703160599,370,0.442864239
1703160841,371,0.336021006
1703161101,372,0.316877186
1703161363,373,0.342996657
1703161605,374,0.404755324
1703161847,375,0.365551353
1703162089,376,0.34602496
1703162330,377,0.395155132
1703162572,378,0.344055206
1703162814,379,0.37054199
1703163055,380,0.426949471
1703163297,381,0.380874008
1703163539,382,0.399635196
1703163781,383,0.37336424
1703164022,384,0.357782364
1703164264,385,0.380467385
1703164506,386,0.46613431
1703164747,387,0.378151208
1703164989,388,0.374005914
1703165231,389,0.419092476
1703165473,390,0.361275762
1703165714,391,0.387180805
1703165956,392,0.381229579
1703166198,393,0.362451881
1703166440,394,0.371732026
1703166682,395,0.386710912
1703166923,396,0.375183433
1703167165,397,0.420382589
1703167407,398,0.360011429
1703167648,399,0.409619063
1703167890,400,0.363003075
1703168132,401,0.358132273
1703168374,402,0.362526715
1703168615,403,0.384638608
1703168857,404,0.330670506
1703169122,405,0.393161267
1703169364,406,0.384802908
1703169606,407,0.369049519
1703169848,408,0.364169359
1703170089,409,0.382950634
1703170331,410,0.380328625
1703170572,411,0.36708498
1703170814,412,0.360721886
1703171056,413,0.393444657
1703171297,414,0.381611466
1703171539,415,0.366506457
1703171781,416,0.400485307
1703172022,417,0.374480218
1703172264,418,0.364701569
1703172506,419,0.393392891
1703172747,420,0.344907224
1703172989,421,0.350376576
1703173250,422,0.343742728
1703173492,423,0.348062426
1703173734,424,0.417016089
1703173976,425,0.380111486
1703174217,426,0.359300047
1703174459,427,0.408530742
1703174701,428,0.413310677
1703174942,429,0.367919654
1703175184,430,0.344173223
1703175445,431,0.347023755
1703175712,432,0.349241734
1703175953,433,0.348463297
1703176195,434,0.333176196
1703176437,435,0.361225158
1703176679,436,0.387035519
1703176920,437,0.373310387
1703177162,438,0.350968897
1703177404,439,0.356988341
1703177645,440,0.368895322
1703177887,441,0.34205693
1703178129,442,0.378883809
1703178370,443,0.404020011
1703178612,444,0.384379357
1703178854,445,0.395244867
1703179096,446,0.346452981
1703179365,447,0.360689312
1703179607,448,0.352346182
1703179849,449,0.335744709
1703180090,450,0.383161247
1703180332,451,0.383481532
1703180574,452,0.357128084
1703180815,453,0.38709268
1703181057,454,0.368476808
1703181298,455,0.363937557
1703181540,456,0.370127648
1703181782,457,0.343167365
1703182023,458,0.358658403
1703182265,459,0.37111479
1703182506,460,0.350121677
1703182748,461,0.366682947
1703182989,462,0.366150826
1703183231,463,0.372074395
