Thu Dec 14 20:44:28 2023 Epoch 77, lr: 0.0000976, val loss: 40.19531, acc: 86.66000
Fri Dec 15 16:31:43 2023 Epoch 0, lr: 0.0001000, val loss: 154.23102, acc: 41.84000
Fri Dec 15 16:33:10 2023 Epoch 0, lr: 0.0001000, val loss: 160.87048, acc: 38.57000
Fri Dec 15 16:48:10 2023 Epoch 1, lr: 0.0001000, val loss: 139.07746, acc: 48.95000
Fri Dec 15 16:49:49 2023 Epoch 1, lr: 0.0001000, val loss: 160.43656, acc: 40.95000
Fri Dec 15 17:04:38 2023 Epoch 2, lr: 0.0001000, val loss: 128.91539, acc: 52.65000
Fri Dec 15 17:06:28 2023 Epoch 2, lr: 0.0001000, val loss: 151.40697, acc: 45.20000
Fri Dec 15 17:21:05 2023 Epoch 3, lr: 0.0001000, val loss: 125.81666, acc: 54.09000
Fri Dec 15 17:23:07 2023 Epoch 3, lr: 0.0001000, val loss: 134.22050, acc: 50.36000
Fri Dec 15 17:37:33 2023 Epoch 4, lr: 0.0001000, val loss: 120.77897, acc: 57.08000
Fri Dec 15 17:39:46 2023 Epoch 4, lr: 0.0001000, val loss: 141.80036, acc: 49.74000
Fri Dec 15 17:54:00 2023 Epoch 5, lr: 0.0001000, val loss: 110.85200, acc: 60.03000
Fri Dec 15 17:56:24 2023 Epoch 5, lr: 0.0001000, val loss: 125.70382, acc: 53.84000
Fri Dec 15 18:10:27 2023 Epoch 6, lr: 0.0001000, val loss: 111.76096, acc: 60.14000
Fri Dec 15 18:13:03 2023 Epoch 6, lr: 0.0001000, val loss: 133.89075, acc: 52.72000
Fri Dec 15 18:26:54 2023 Epoch 7, lr: 0.0001000, val loss: 103.17362, acc: 62.71000
Fri Dec 15 18:29:42 2023 Epoch 7, lr: 0.0001000, val loss: 118.50893, acc: 57.44000
Fri Dec 15 18:43:21 2023 Epoch 8, lr: 0.0001000, val loss: 105.21097, acc: 62.62000
Fri Dec 15 18:46:20 2023 Epoch 8, lr: 0.0001000, val loss: 119.36977, acc: 57.39000
Fri Dec 15 18:59:49 2023 Epoch 9, lr: 0.0001000, val loss: 94.73020, acc: 66.12000
Fri Dec 15 19:02:59 2023 Epoch 9, lr: 0.0001000, val loss: 108.64048, acc: 60.52000
Fri Dec 15 19:16:16 2023 Epoch 10, lr: 0.0001000, val loss: 102.92169, acc: 64.63000
Fri Dec 15 19:19:38 2023 Epoch 10, lr: 0.0001000, val loss: 114.76942, acc: 59.01000
Fri Dec 15 19:32:43 2023 Epoch 11, lr: 0.0001000, val loss: 95.56058, acc: 66.99000
Fri Dec 15 19:36:16 2023 Epoch 11, lr: 0.0001000, val loss: 112.85459, acc: 59.89000
Fri Dec 15 19:49:10 2023 Epoch 12, lr: 0.0001000, val loss: 88.36490, acc: 68.48000
Fri Dec 15 19:52:55 2023 Epoch 12, lr: 0.0001000, val loss: 113.62142, acc: 60.55000
Fri Dec 15 20:05:37 2023 Epoch 13, lr: 0.0000999, val loss: 92.11352, acc: 66.85000
Fri Dec 15 20:09:34 2023 Epoch 13, lr: 0.0000999, val loss: 111.97141, acc: 59.85000
Fri Dec 15 20:22:04 2023 Epoch 14, lr: 0.0000999, val loss: 87.12069, acc: 69.02000
Fri Dec 15 20:26:13 2023 Epoch 14, lr: 0.0000999, val loss: 106.83481, acc: 62.61000
Fri Dec 15 20:38:31 2023 Epoch 15, lr: 0.0000999, val loss: 88.19170, acc: 68.61000
Fri Dec 15 20:42:52 2023 Epoch 15, lr: 0.0000999, val loss: 105.33074, acc: 62.62000
Fri Dec 15 20:54:58 2023 Epoch 16, lr: 0.0000999, val loss: 87.77779, acc: 69.15000
Fri Dec 15 20:59:31 2023 Epoch 16, lr: 0.0000999, val loss: 98.88213, acc: 64.07000
Fri Dec 15 21:11:25 2023 Epoch 17, lr: 0.0000999, val loss: 81.75006, acc: 71.59000
Fri Dec 15 21:16:10 2023 Epoch 17, lr: 0.0000999, val loss: 100.45372, acc: 64.30000
Fri Dec 15 21:27:52 2023 Epoch 18, lr: 0.0000999, val loss: 81.30870, acc: 71.08000
Fri Dec 15 21:32:48 2023 Epoch 18, lr: 0.0000999, val loss: 104.78655, acc: 63.74000
Fri Dec 15 21:44:19 2023 Epoch 19, lr: 0.0000999, val loss: 84.95327, acc: 70.61000
Fri Dec 15 21:49:27 2023 Epoch 19, lr: 0.0000999, val loss: 103.70737, acc: 64.51000
Fri Dec 15 22:00:46 2023 Epoch 20, lr: 0.0000999, val loss: 81.05349, acc: 72.29000
Fri Dec 15 22:06:06 2023 Epoch 20, lr: 0.0000999, val loss: 97.91509, acc: 65.34000
Fri Dec 15 22:17:13 2023 Epoch 21, lr: 0.0000998, val loss: 84.17071, acc: 72.17000
Fri Dec 15 22:22:45 2023 Epoch 21, lr: 0.0000998, val loss: 98.13490, acc: 65.71000
Fri Dec 15 22:33:40 2023 Epoch 22, lr: 0.0000998, val loss: 77.27382, acc: 73.80000
Fri Dec 15 22:39:23 2023 Epoch 22, lr: 0.0000998, val loss: 102.05830, acc: 63.82000
Fri Dec 15 22:50:07 2023 Epoch 23, lr: 0.0000998, val loss: 77.81940, acc: 73.38000
Fri Dec 15 22:56:02 2023 Epoch 23, lr: 0.0000998, val loss: 122.88828, acc: 58.89000
