Thu Dec 14 20:43:29 2023 Epoch 302, lr: 0.0000655, val loss: 77.43792, acc: 81.96000
Thu Dec 14 20:46:21 2023 Epoch 253, lr: 0.0000748, val loss: 84.82732, acc: 82.83000
Thu Dec 14 20:49:30 2023 Epoch 303, lr: 0.0000653, val loss: 84.76778, acc: 81.16000
Thu Dec 14 21:10:34 2023 Epoch 0, lr: 0.0001000, val loss: 174.61710, acc: 35.08000
Thu Dec 14 21:12:55 2023 Epoch 0, lr: 0.0001000, val loss: 174.01440, acc: 35.22000
Thu Dec 14 21:12:59 2023 Epoch 1, lr: 0.0001000, val loss: 149.34948, acc: 45.34000
Thu Dec 14 21:15:18 2023 Epoch 2, lr: 0.0001000, val loss: 135.47470, acc: 50.20000
Thu Dec 14 21:15:31 2023 Epoch 1, lr: 0.0001000, val loss: 157.65609, acc: 42.70000
Thu Dec 14 21:17:38 2023 Epoch 3, lr: 0.0001000, val loss: 129.03711, acc: 52.87000
Thu Dec 14 21:18:06 2023 Epoch 2, lr: 0.0001000, val loss: 141.51916, acc: 47.59000
Thu Dec 14 21:19:58 2023 Epoch 4, lr: 0.0001000, val loss: 122.07284, acc: 56.18000
Thu Dec 14 21:20:42 2023 Epoch 3, lr: 0.0001000, val loss: 134.55457, acc: 50.15000
Thu Dec 14 21:22:17 2023 Epoch 5, lr: 0.0001000, val loss: 117.90787, acc: 57.24000
Thu Dec 14 21:23:17 2023 Epoch 4, lr: 0.0001000, val loss: 126.10115, acc: 54.52000
Thu Dec 14 21:24:37 2023 Epoch 6, lr: 0.0001000, val loss: 112.90289, acc: 59.31000
Thu Dec 14 21:25:53 2023 Epoch 5, lr: 0.0001000, val loss: 120.81193, acc: 56.64000
Thu Dec 14 21:26:57 2023 Epoch 7, lr: 0.0001000, val loss: 106.29157, acc: 61.73000
Thu Dec 14 21:28:23 2023 Epoch 6, lr: 0.0001000, val loss: 122.81663, acc: 55.04000
Thu Dec 14 21:29:17 2023 Epoch 8, lr: 0.0001000, val loss: 102.70235, acc: 63.20000
Thu Dec 14 21:30:59 2023 Epoch 7, lr: 0.0001000, val loss: 112.19641, acc: 60.02000
Thu Dec 14 21:31:36 2023 Epoch 9, lr: 0.0001000, val loss: 103.00396, acc: 63.29000
Thu Dec 14 21:33:28 2023 Epoch 8, lr: 0.0001000, val loss: 109.29245, acc: 59.70000
Thu Dec 14 21:33:56 2023 Epoch 10, lr: 0.0001000, val loss: 100.18308, acc: 64.35000
Thu Dec 14 21:36:04 2023 Epoch 9, lr: 0.0001000, val loss: 108.90356, acc: 60.35000
Thu Dec 14 21:36:16 2023 Epoch 11, lr: 0.0001000, val loss: 99.49182, acc: 65.45000
Thu Dec 14 21:38:36 2023 Epoch 12, lr: 0.0001000, val loss: 92.55755, acc: 67.20000
Thu Dec 14 21:38:41 2023 Epoch 10, lr: 0.0001000, val loss: 108.76953, acc: 61.01000
Thu Dec 14 21:40:56 2023 Epoch 13, lr: 0.0000999, val loss: 90.35209, acc: 68.42000
Thu Dec 14 21:41:16 2023 Epoch 11, lr: 0.0001000, val loss: 105.15089, acc: 62.49000
Thu Dec 14 21:43:10 2023 Epoch 14, lr: 0.0000999, val loss: 90.98429, acc: 67.50000
Thu Dec 14 21:43:52 2023 Epoch 12, lr: 0.0001000, val loss: 100.91363, acc: 64.13000
Thu Dec 14 21:45:29 2023 Epoch 15, lr: 0.0000999, val loss: 84.80703, acc: 69.65000
Thu Dec 14 21:46:22 2023 Epoch 13, lr: 0.0000999, val loss: 101.95221, acc: 63.71000
Thu Dec 14 21:47:43 2023 Epoch 16, lr: 0.0000999, val loss: 88.04841, acc: 68.85000
Thu Dec 14 21:48:51 2023 Epoch 14, lr: 0.0000999, val loss: 102.82692, acc: 63.86000
Thu Dec 14 21:50:03 2023 Epoch 17, lr: 0.0000999, val loss: 83.01860, acc: 70.81000
Thu Dec 14 21:51:28 2023 Epoch 15, lr: 0.0000999, val loss: 95.69150, acc: 66.60000
Thu Dec 14 21:52:17 2023 Epoch 18, lr: 0.0000999, val loss: 84.93091, acc: 70.29000
Thu Dec 14 21:53:58 2023 Epoch 16, lr: 0.0000999, val loss: 99.35747, acc: 64.90000
Thu Dec 14 21:54:31 2023 Epoch 19, lr: 0.0000999, val loss: 85.70618, acc: 69.58000
Thu Dec 14 21:56:28 2023 Epoch 17, lr: 0.0000999, val loss: 99.46018, acc: 64.78000
Thu Dec 14 21:56:50 2023 Epoch 20, lr: 0.0000999, val loss: 82.44363, acc: 70.96000
Thu Dec 14 21:59:03 2023 Epoch 18, lr: 0.0000999, val loss: 93.59549, acc: 67.10000
Thu Dec 14 21:59:10 2023 Epoch 21, lr: 0.0000998, val loss: 77.84254, acc: 72.87000
