Thu Dec 14 21:06:50 2023 Epoch 0, lr: 0.0001000, val loss: 166.65336, acc: 39.33000
Thu Dec 14 21:08:44 2023 Epoch 1, lr: 0.0001000, val loss: 145.80387, acc: 47.90000
Thu Dec 14 21:09:04 2023 Epoch 0, lr: 0.0001000, val loss: 168.45768, acc: 38.69000
Thu Dec 14 21:10:39 2023 Epoch 2, lr: 0.0001000, val loss: 138.10705, acc: 49.64000
Thu Dec 14 21:12:38 2023 Epoch 3, lr: 0.0001000, val loss: 132.18906, acc: 52.20000
Thu Dec 14 21:12:55 2023 Epoch 1, lr: 0.0001000, val loss: 151.85259, acc: 44.98000
Thu Dec 14 21:15:45 2023 Epoch 4, lr: 0.0001000, val loss: 125.62724, acc: 54.48000
Thu Dec 14 21:16:40 2023 Epoch 2, lr: 0.0001000, val loss: 142.31238, acc: 49.04000
Thu Dec 14 21:20:02 2023 Epoch 5, lr: 0.0001000, val loss: 127.92173, acc: 53.80000
Thu Dec 14 21:20:26 2023 Epoch 3, lr: 0.0001000, val loss: 137.34363, acc: 50.74000
Thu Dec 14 21:24:13 2023 Epoch 4, lr: 0.0001000, val loss: 134.24068, acc: 51.15000
Thu Dec 14 21:24:18 2023 Epoch 6, lr: 0.0001000, val loss: 118.85508, acc: 57.50000
Thu Dec 14 21:27:58 2023 Epoch 5, lr: 0.0001000, val loss: 132.51135, acc: 52.00000
Thu Dec 14 21:28:36 2023 Epoch 7, lr: 0.0001000, val loss: 114.19493, acc: 59.48000
Thu Dec 14 21:31:44 2023 Epoch 6, lr: 0.0001000, val loss: 125.25069, acc: 55.16000
Thu Dec 14 21:32:54 2023 Epoch 8, lr: 0.0001000, val loss: 111.50533, acc: 59.74000
Thu Dec 14 21:35:28 2023 Epoch 7, lr: 0.0001000, val loss: 125.73434, acc: 55.01000
Thu Dec 14 21:37:13 2023 Epoch 9, lr: 0.0001000, val loss: 111.22151, acc: 59.86000
Thu Dec 14 21:39:14 2023 Epoch 8, lr: 0.0001000, val loss: 120.82520, acc: 56.85000
Thu Dec 14 21:41:32 2023 Epoch 10, lr: 0.0001000, val loss: 111.00057, acc: 60.89000
Thu Dec 14 21:43:00 2023 Epoch 9, lr: 0.0001000, val loss: 118.31072, acc: 57.83000
Thu Dec 14 21:45:32 2023 Epoch 11, lr: 0.0001000, val loss: 104.53163, acc: 62.64000
Thu Dec 14 21:46:47 2023 Epoch 10, lr: 0.0001000, val loss: 117.48193, acc: 57.87000
Thu Dec 14 21:48:01 2023 Epoch 12, lr: 0.0001000, val loss: 103.46312, acc: 62.99000
Thu Dec 14 21:50:33 2023 Epoch 11, lr: 0.0001000, val loss: 116.87515, acc: 58.67000
Thu Dec 14 21:51:29 2023 Epoch 13, lr: 0.0000999, val loss: 99.24617, acc: 64.38000
Thu Dec 14 21:53:55 2023 Epoch 14, lr: 0.0000999, val loss: 99.11565, acc: 64.73000
Thu Dec 14 21:54:19 2023 Epoch 12, lr: 0.0001000, val loss: 111.93648, acc: 59.77000
Thu Dec 14 21:55:48 2023 Epoch 15, lr: 0.0000999, val loss: 95.93089, acc: 65.43000
Thu Dec 14 21:57:44 2023 Epoch 16, lr: 0.0000999, val loss: 99.62447, acc: 64.45000
Thu Dec 14 21:58:05 2023 Epoch 13, lr: 0.0000999, val loss: 108.50531, acc: 61.10000
Thu Dec 14 22:00:09 2023 Epoch 17, lr: 0.0000999, val loss: 94.74976, acc: 66.17000
Thu Dec 14 22:01:51 2023 Epoch 14, lr: 0.0000999, val loss: 107.96750, acc: 61.99000
Thu Dec 14 22:04:34 2023 Epoch 18, lr: 0.0000999, val loss: 91.49353, acc: 67.77000
Thu Dec 14 22:05:36 2023 Epoch 15, lr: 0.0000999, val loss: 106.21377, acc: 61.70000
Thu Dec 14 22:08:54 2023 Epoch 19, lr: 0.0000999, val loss: 91.97063, acc: 67.11000
Thu Dec 14 22:09:19 2023 Epoch 16, lr: 0.0000999, val loss: 108.10722, acc: 61.96000
Thu Dec 14 22:13:06 2023 Epoch 17, lr: 0.0000999, val loss: 101.76288, acc: 63.92000
Thu Dec 14 22:13:15 2023 Epoch 20, lr: 0.0000999, val loss: 91.92307, acc: 66.75000
Thu Dec 14 22:16:53 2023 Epoch 18, lr: 0.0000999, val loss: 99.31510, acc: 64.61000
Thu Dec 14 22:17:36 2023 Epoch 21, lr: 0.0000998, val loss: 86.66430, acc: 68.68000
Thu Dec 14 22:20:39 2023 Epoch 19, lr: 0.0000999, val loss: 98.72326, acc: 65.20000
Thu Dec 14 22:21:37 2023 Epoch 22, lr: 0.0000998, val loss: 91.78238, acc: 67.90000
Thu Dec 14 22:24:23 2023 Epoch 20, lr: 0.0000999, val loss: 99.12039, acc: 64.19000
Thu Dec 14 22:25:54 2023 Epoch 23, lr: 0.0000998, val loss: 86.65269, acc: 69.07000
Thu Dec 14 22:28:08 2023 Epoch 21, lr: 0.0000998, val loss: 98.72891, acc: 64.48000
Thu Dec 14 22:29:57 2023 Epoch 24, lr: 0.0000998, val loss: 89.45034, acc: 68.38000
Thu Dec 14 22:31:54 2023 Epoch 22, lr: 0.0000998, val loss: 97.54477, acc: 65.47000
Thu Dec 14 22:33:23 2023 Epoch 25, lr: 0.0000998, val loss: 85.51745, acc: 69.59000
Thu Dec 14 22:35:41 2023 Epoch 23, lr: 0.0000998, val loss: 92.51442, acc: 67.29000
